Age,Gender,Education Level,Job Title,Years of Experience,Salary,
56,Male,PhD,Software Engineer Manager,17,195000,FALSE
24,Male,Bachelor's Degree,Front end Developer,1,60000,FALSE
37,Male,Master's Degree,Senior Software Engineer,8,150000,FALSE
43,Female,PhD,Senior Project Engineer,13,180000,FALSE
44,Female,Master's Degree,Senior Software Engineer,12,170000,FALSE
34,Male,Master's Degree,Back end Developer,6,125000,FALSE
45,Male,PhD,Software Engineer Manager,15,185000,FALSE
29,Male,Bachelor's Degree,Full Stack Engineer,3,90000,FALSE
29,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
29,Female,Bachelor's Degree,Back end Developer,3,85000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
43,Female,Master's Degree,Software Engineer Manager,11,160000,FALSE
62,Male,PhD,Software Engineer Manager,19,200000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
60,Male,PhD,Software Engineer Manager,18,195000,FALSE
54,Female,PhD,Software Engineer Manager,14,190000,FALSE
27,Female,Master's Degree,Full Stack Engineer,3,95000,FALSE
23,Male,Bachelor's Degree,Back end Developer,1,55000,FALSE
45,Male,PhD,Senior Software Engineer,13,185000,FALSE
32,Female,Master's Degree,Full Stack Engineer,5,120000,FALSE
57,Male,PhD,Software Engineer Manager,16,195000,FALSE
47,Male,PhD,Software Engineer Manager,14,175000,FALSE
25,Female,Master's Degree,Back end Developer,2,75000,FALSE
58,Male,PhD,Software Engineer Manager,17,200000,FALSE
41,Female,Master's Degree,Senior Software Engineer,12,160000,FALSE
41,Male,PhD,Software Engineer Manager,12,175000,FALSE
26,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
47,Male,PhD,Senior Software Engineer,15,180000,FALSE
24,Female,Bachelor's Degree,Back end Developer,1,60000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
32,Male,Bachelor's Degree,Full Stack Engineer,5,120000,FALSE
61,Male,PhD,Software Engineer Manager,20,200000,FALSE
45,Male,PhD,Senior Project Engineer,14,185000,FALSE
50,Female,PhD,Software Engineer Manager,16,190000,FALSE
53,Male,PhD,Software Engineer Manager,18,195000,FALSE
47,Female,PhD,Senior Software Engineer,14,170000,FALSE
23,Male,Bachelor's Degree,Front end Developer,1,55000,FALSE
33,Male,Master's Degree,Back end Developer,6,130000,FALSE
42,Male,PhD,Software Engineer Manager,14,180000,FALSE
45,Male,PhD,Senior Project Engineer,14,185000,FALSE
23,Male,Bachelor's Degree,Front end Developer,1,55000,FALSE
37,Male,Master's Degree,Senior Software Engineer,9,145000,FALSE
44,Female,Master's Degree,Senior Project Engineer,12,170000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
38,Female,Master's Degree,Back end Developer,10,155000,FALSE
34,Male,Master's Degree,Full Stack Engineer,6,125000,FALSE
46,Female,PhD,Software Engineer Manager,14,180000,FALSE
30,Male,Bachelor's Degree,Back end Developer,4,95000,FALSE
44,Female,Master's Degree,Senior Software Engineer,11,170000,FALSE
27,Female,Master's Degree,Full Stack Engineer,3,100000,FALSE
42,Male,PhD,Senior Project Engineer,14,175000,FALSE
27,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
54,Male,PhD,Software Engineer Manager,18,195000,FALSE
38,Male,Master's Degree,Senior Software Engineer,10,155000,FALSE
31,Male,Master's Degree,Senior Project Engineer,6,125000,FALSE
28,Female,Master's Degree,Full Stack Engineer,4,110000,FALSE
30,Female,Master's Degree,Back end Developer,6,130000,FALSE
54,Male,PhD,Software Engineer Manager,16,190000,FALSE
62,Male,PhD,Software Engineer Manager,20,200000,FALSE
62,Male,PhD,Software Engineer Manager,19,200000,FALSE
37,Male,Master's Degree,Senior Software Engineer,9,150000,FALSE
31,Male,Master's Degree,Senior Software Engineer,7,140000,FALSE
58,Female,PhD,Software Engineer Manager,17,195000,FALSE
56,Male,PhD,Software Engineer Manager,17,195000,FALSE
23,Female,Bachelor's Degree,Back end Developer,1,55000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
32,Female,Master's Degree,Full Stack Engineer,5,120000,FALSE
52,Female,PhD,Software Engineer Manager,16,190000,FALSE
32,Female,Master's Degree,Full Stack Engineer,6,130000,FALSE
50,Female,PhD,Software Engineer Manager,16,190000,FALSE
32,Male,Master's Degree,Back end Developer,6,130000,FALSE
34,Male,Master's Degree,Full Stack Engineer,7,140000,FALSE
28,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
44,Male,Master's Degree,Senior Project Engineer,11,170000,FALSE
55,Male,PhD,Software Engineer Manager,17,190000,FALSE
27,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
46,Male,PhD,Software Engineer Manager,14,180000,FALSE
27,Female,Master's Degree,Back end Developer,2,70000,FALSE
45,Male,PhD,Senior Project Engineer,14,185000,FALSE
23,Female,Bachelor's Degree,Front end Developer,1,55000,FALSE
36,Female,Master's Degree,Full Stack Engineer,8,140000,FALSE
47,Female,PhD,Senior Software Engineer,14,170000,FALSE
33,Male,Master's Degree,Back end Developer,6,130000,FALSE
43,Male,PhD,Software Engineer Manager,13,180000,FALSE
30,Male,Bachelor's Degree,Back end Developer,4,95000,FALSE
28,Female,Bachelor's Degree,Front end Developer,2,70000,FALSE
43,Male,Master's Degree,Senior Project Engineer,12,165000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
36,Male,Master's Degree,Senior Software Engineer,7,140000,FALSE
24,Male,Bachelor's Degree,Front end Developer,1,60000,FALSE
28,Female,Bachelor's Degree,Front end Developer,3,80000,FALSE
37,Male,Master's Degree,Senior Software Engineer,9,150000,FALSE
41,Female,PhD,Software Engineer Manager,14,185000,FALSE
26,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
28,Female,Master's Degree,Back end Developer,3,90000,FALSE
43,Male,PhD,Senior Software Engineer,12,170000,FALSE
42,Male,PhD,Senior Software Engineer,14,170000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
27,Female,Master's Degree,Back end Developer,2,70000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
44,Male,PhD,Senior Project Engineer,12,170000,FALSE
27,Female,Master's Degree,Full Stack Engineer,3,100000,FALSE
37,Male,Master's Degree,Senior Software Engineer,10,155000,FALSE
44,Female,Master's Degree,Senior Project Engineer,12,170000,FALSE
56,Male,PhD,Software Engineer Manager,18,195000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
27,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
31,Male,Master's Degree,Full Stack Engineer,7,140000,FALSE
25,Male,Bachelor's Degree,Front end Developer,1,60000,FALSE
50,Male,PhD,Software Engineer Manager,16,190000,FALSE
46,Male,PhD,Software Engineer Manager,14,180000,FALSE
33,Male,Master's Degree,Full Stack Engineer,6,130000,FALSE
42,Male,PhD,Senior Software Engineer,14,170000,FALSE
41,Male,PhD,Senior Project Engineer,12,165000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
32,Male,Master's Degree,Back end Developer,6,130000,FALSE
24,Male,Bachelor's Degree,Front end Developer,1,60000,FALSE
44,Female,Master's Degree,Senior Software Engineer,11,170000,FALSE
36,Male,Master's Degree,Senior Software Engineer,7,140000,FALSE
28,Female,Master's Degree,Full Stack Engineer,4,110000,FALSE
28,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
37,Male,Master's Degree,Senior Software Engineer,9,145000,FALSE
54,Male,PhD,Software Engineer Manager,16,190000,FALSE
58,Male,PhD,Software Engineer Manager,17,200000,FALSE
27,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
30,Male,Bachelor's Degree,Back end Developer,4,95000,FALSE
27,Female,Master's Degree,Full Stack Engineer,3,100000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
38,Male,Master's Degree,Senior Software Engineer,10,155000,FALSE
54,Male,PhD,Software Engineer Manager,18,195000,FALSE
31,Male,Master's Degree,Senior Project Engineer,6,125000,FALSE
56,Male,PhD,Software Engineer Manager,17,195000,FALSE
31,Male,Master's Degree,Senior Software Engineer,7,140000,FALSE
42,Male,PhD,Senior Software Engineer,14,170000,FALSE
44,Male,Master's Degree,Senior Project Engineer,11,170000,FALSE
37,Male,Master's Degree,Senior Software Engineer,9,150000,FALSE
24,Female,Bachelor's Degree,Back end Developer,1,60000,FALSE
27,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
42,Male,PhD,Senior Software Engineer,14,170000,FALSE
24,Female,Bachelor's Degree,Front end Developer,1,55000,FALSE
28,Female,Bachelor's Degree,Front end Developer,3,80000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
31,Male,Master's Degree,Full Stack Engineer,7,140000,FALSE
43,Male,PhD,Software Engineer Manager,13,180000,FALSE
27,Female,Master's Degree,Back end Developer,2,70000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
30,Female,Master's Degree,Back end Developer,6,130000,FALSE
28,Female,Master's Degree,Full Stack Engineer,4,110000,FALSE
46,Male,PhD,Software Engineer Manager,14,180000,FALSE
37,Male,Master's Degree,Senior Software Engineer,9,145000,FALSE
42,Male,PhD,Senior Software Engineer,14,170000,FALSE
43,Male,PhD,Senior Project Engineer,12,165000,FALSE
31,Male,Master's Degree,Senior Software Engineer,7,140000,FALSE
56,Male,PhD,Software Engineer Manager,17,195000,FALSE
37,Male,Master's Degree,Senior Software Engineer,10,155000,FALSE
54,Male,PhD,Software Engineer Manager,16,190000,FALSE
58,Male,PhD,Software Engineer Manager,17,195000,FALSE
33,Male,Master's Degree,Back end Developer,6,130000,FALSE
29,Female,Bachelor's Degree,Front end Developer,3,85000,FALSE
52,Male,PhD,Software Engineer Manager,18,200000,FALSE
36,Male,Master's Degree,Full Stack Engineer,8,140000,FALSE
26,Male,Bachelor's Degree,Back end Developer,2,65000,FALSE
47,Male,PhD,Senior Project Engineer,16,190000,FALSE
32,Male,Master's Degree,Full Stack Engineer,6,120000,FALSE
29,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
28,Female,Master's Degree,Back end Developer,3,90000,FALSE
54,Male,PhD,Software Engineer Manager,16,190000,FALSE
57,Male,PhD,Software Engineer Manager,18,200000,FALSE
51,Male,PhD,Software Engineer Manager,16,190000,FALSE
28,Female,Master's Degree,Full Stack Engineer,4,110000,FALSE
46,Male,PhD,Software Engineer Manager,14,180000,FALSE
27,Female,Master's Degree,Back end Developer,2,65000,FALSE
45,Male,PhD,Senior Project Engineer,14,185000,FALSE
23,Female,Bachelor's Degree,Front end Developer,1,55000,FALSE
36,Male,Master's Degree,Full Stack Engineer,7,130000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
33,Female,Master's Degree,Full Stack Engineer,5,120000,FALSE
38,Female,Master's Degree,Back end Developer,10,155000,FALSE
51,Male,PhD,Software Engineer Manager,16,190000,FALSE
27,Female,Master's Degree,Full Stack Engineer,3,100000,FALSE
37,Male,Master's Degree,Senior Software Engineer,9,150000,FALSE
44,Female,Master's Degree,Senior Project Engineer,12,170000,FALSE
27,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
38,Male,Master's Degree,Senior Software Engineer,10,155000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
27,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
31,Male,Master's Degree,Full Stack Engineer,7,140000,FALSE
25,Male,Bachelor's Degree,Front end Developer,1,55000,FALSE
50,Male,PhD,Software Engineer Manager,16,190000,FALSE
46,Male,PhD,Software Engineer Manager,14,180000,FALSE
33,Male,Master's Degree,Full Stack Engineer,6,130000,FALSE
42,Male,PhD,Senior Software Engineer,14,170000,FALSE
41,Male,PhD,Senior Project Engineer,12,165000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
32,Male,Master's Degree,Back end Developer,6,130000,FALSE
24,Male,Bachelor's Degree,Front end Developer,1,60000,FALSE
44,Female,Master's Degree,Senior Software Engineer,11,170000,FALSE
36,Male,Master's Degree,Senior Software Engineer,7,140000,FALSE
28,Female,Master's Degree,Full Stack Engineer,4,110000,FALSE
28,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
37,Male,Master's Degree,Senior Software Engineer,9,145000,FALSE
54,Male,PhD,Software Engineer Manager,16,190000,FALSE
58,Male,PhD,Software Engineer Manager,17,200000,FALSE
27,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
30,Male,Bachelor's Degree,Back end Developer,4,95000,FALSE
27,Female,Master's Degree,Full Stack Engineer,3,100000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
38,Male,Master's Degree,Senior Software Engineer,10,155000,FALSE
54,Male,PhD,Software Engineer Manager,18,195000,FALSE
31,Male,Master's Degree,Senior Project Engineer,6,125000,FALSE
56,Male,PhD,Software Engineer Manager,17,195000,FALSE
31,Male,Master's Degree,Senior Software Engineer,7,140000,FALSE
42,Male,PhD,Senior Software Engineer,14,170000,FALSE
44,Male,Master's Degree,Senior Project Engineer,11,170000,FALSE
37,Male,Master's Degree,Senior Software Engineer,9,150000,FALSE
24,Female,Bachelor's Degree,Back end Developer,1,60000,FALSE
27,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
42,Male,PhD,Senior Software Engineer,14,170000,FALSE
24,Female,Bachelor's Degree,Front end Developer,1,55000,FALSE
28,Female,Bachelor's Degree,Front end Developer,3,80000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
31,Male,Master's Degree,Full Stack Engineer,7,140000,FALSE
43,Male,PhD,Software Engineer Manager,13,180000,FALSE
27,Female,Master's Degree,Back end Developer,2,70000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
31,Male,Master's Degree,Senior Project Engineer,6,125000,FALSE
40,Male,PhD,Senior Software Engineer,12,160000,FALSE
36,Male,Master's Degree,Senior Software Engineer,8,140000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
27,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
28,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
44,Male,Master's Degree,Senior Project Engineer,11,170000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
32,Male,Master's Degree,Back end Developer,6,130000,FALSE
38,Male,Master's Degree,Senior Software Engineer,10,155000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
27,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
31,Male,Master's Degree,Senior Project Engineer,7,135000,FALSE
24,Male,Bachelor's Degree,Back end Developer,1,55000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
27,Female,Master's Degree,Back end Developer,2,70000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
44,Male,Master's Degree,Senior Project Engineer,11,170000,FALSE
37,Male,Master's Degree,Senior Software Engineer,9,150000,FALSE
56,Male,PhD,Software Engineer Manager,17,195000,FALSE
28,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
31,Male,Master's Degree,Senior Project Engineer,6,125000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
27,Female,Master's Degree,Back end Developer,2,70000,FALSE
38,Male,Master's Degree,Senior Software Engineer,10,155000,FALSE
27,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
44,Male,Master's Degree,Senior Project Engineer,11,170000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
37,Male,Master's Degree,Senior Software Engineer,9,150000,FALSE
28,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
27,Female,Master's Degree,Back end Developer,2,70000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
31,Male,Master's Degree,Senior Project Engineer,7,135000,FALSE
27,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
38,Male,Master's Degree,Senior Software Engineer,10,155000,FALSE
44,Male,Master's Degree,Senior Project Engineer,11,170000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
27,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
31,Male,Master's Degree,Senior Project Engineer,6,125000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
37,Male,Master's Degree,Senior Software Engineer,9,150000,FALSE
28,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
27,Female,Master's Degree,Back end Developer,2,70000,FALSE
34,Male,Bachelor's Degree,Front end Developer,5,95000,FALSE
43,Female,Master's Degree,Senior Software Engineer,12,170000,FALSE
27,Male,Bachelor's Degree,Back end Developer,2,75000,FALSE
56,Female,PhD,Software Engineer Manager,18,210000,FALSE
32,Male,Master's Degree,Full Stack Engineer,7,135000,FALSE
40,Male,PhD,Senior Software Engineer,12,160000,FALSE
23,Male,Bachelor's Degree,Front end Developer,1,55000,FALSE
46,Male,PhD,Senior Project Engineer,16,190000,FALSE
41,Female,PhD,Senior Project Engineer,11,165000,FALSE
28,Female,Bachelor's Degree,Front end Developer,3,80000,FALSE
34,Male,Bachelor's Degree,Back end Developer,6,120000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
54,Male,PhD,Software Engineer Manager,16,190000,FALSE
36,Male,Master's Degree,Senior Software Engineer,8,140000,FALSE
33,Male,Master's Degree,Full Stack Engineer,6,130000,FALSE
27,Female,Master's Degree,Back end Developer,2,70000,FALSE
44,Male,Master's Degree,Senior Project Engineer,11,170000,FALSE
31,Male,Master's Degree,Senior Project Engineer,6,125000,FALSE
38,Male,Master's Degree,Senior Software Engineer,10,155000,FALSE
27,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
31,Male,Master's Degree,Senior Software Engineer,7,140000,FALSE
32,Male,Master's Degree,Back end Developer,6,130000,FALSE
38,Female,Master's Degree,Back end Developer,10,155000,FALSE
51,Male,PhD,Software Engineer Manager,16,190000,FALSE
28,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
27,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
27,Female,Master's Degree,Full Stack Engineer,3,100000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
31,Male,Master's Degree,Senior Project Engineer,7,135000,FALSE
40,Female,PhD,Senior Software Engineer,12,160000,FALSE
24,Male,Bachelor's Degree,Front end Developer,1,55000,FALSE
27,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
42,Male,PhD,Senior Software Engineer,14,170000,FALSE
24,Female,Bachelor's Degree,Front end Developer,1,55000,FALSE
28,Female,Bachelor's Degree,Front end Developer,3,80000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
31,Male,Master's Degree,Full Stack Engineer,7,140000,FALSE
43,Male,PhD,Software Engineer Manager,13,180000,FALSE
27,Female,Master's Degree,Back end Developer,2,70000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
31,Male,Master's Degree,Senior Project Engineer,6,125000,FALSE
40,Male,PhD,Senior Software Engineer,12,160000,FALSE
36,Male,Master's Degree,Senior Software Engineer,8,140000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
27,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
28,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
44,Male,Master's Degree,Senior Project Engineer,11,170000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
32,Male,Master's Degree,Back end Developer,6,130000,FALSE
38,Male,Master's Degree,Senior Software Engineer,10,155000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
27,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
31,Male,Master's Degree,Senior Project Engineer,7,135000,FALSE
24,Male,Bachelor's Degree,Back end Developer,1,55000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
27,Female,Master's Degree,Back end Developer,2,70000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
44,Male,Master's Degree,Senior Project Engineer,11,170000,FALSE
37,Male,Master's Degree,Senior Software Engineer,9,150000,FALSE
56,Male,PhD,Software Engineer Manager,17,195000,FALSE
28,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
31,Male,Master's Degree,Senior Project Engineer,6,125000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
27,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
42,Male,PhD,Senior Software Engineer,14,170000,FALSE
38,Male,Master's Degree,Senior Software Engineer,10,155000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
27,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
31,Male,Master's Degree,Full Stack Engineer,7,140000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
36,Male,Master's Degree,Senior Software Engineer,8,140000,FALSE
27,Female,Master's Degree,Back end Developer,2,70000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
31,Male,Master's Degree,Senior Project Engineer,7,135000,FALSE
40,Female,PhD,Senior Software Engineer,12,160000,FALSE
24,Male,Bachelor's Degree,Front end Developer,1,55000,FALSE
27,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
27,Female,Master's Degree,Full Stack Engineer,3,100000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
31,Male,Master's Degree,Senior Project Engineer,6,125000,FALSE
40,Male,PhD,Senior Software Engineer,12,160000,FALSE
36,Male,Master's Degree,Senior Software Engineer,8,140000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
27,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
28,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
44,Male,Master's Degree,Senior Project Engineer,11,170000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
32,Male,Master's Degree,Back end Developer,6,130000,FALSE
38,Male,Master's Degree,Senior Software Engineer,10,155000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
27,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
31,Male,Master's Degree,Senior Project Engineer,7,135000,FALSE
24,Male,Bachelor's Degree,Back end Developer,1,55000,FALSE
48,Male,PhD,Senior Project Engineer,16,190000,FALSE
27,Female,Master's Degree,Back end Developer,2,70000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
44,Male,Master's Degree,Senior Project Engineer,11,170000,FALSE
37,Male,Master's Degree,Senior Software Engineer,9,150000,FALSE
56,Male,PhD,Software Engineer Manager,17,195000,FALSE
28,Male,Bachelor's Degree,Front end Developer,2,70000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
31,Male,Master's Degree,Senior Project Engineer,6,125000,FALSE
49,Male,PhD,Software Engineer Manager,15,185000,FALSE
54,Male,PhD,Software Engineer Manager,17,195000,FALSE
27,Male,Bachelor's Degree,Front end Developer,3,80000,FALSE
42,Male,PhD,Senior Software Engineer,14,170000,FALSE
38,Male,Master's Degree,Senior Software Engineer,10,155000,FALSE
36,Male,Bachelor's Degree,Front end Developer,7,120000,FALSE
29,Female,Master's Degree,Back end Developer,3,90000,FALSE
41,Female,PhD,Software Engineer Manager,14,180000,FALSE
33,Male,Bachelor's Degree,Full Stack Engineer,7,130000,FALSE
42,Male,PhD,Senior Software Engineer,12,170000,FALSE
28,Male,Bachelor's Degree,Back end Developer,2,70000,FALSE
55,Male,PhD,Software Engineer Manager,18,210000,FALSE
26,Female,Master's Degree,Front end Developer,1,55000,FALSE
47,Male,PhD,Senior Project Engineer,16,190000,FALSE
44,Female,PhD,Software Engineer Manager,11,165000,FALSE
30,Male,Master's Degree,Full Stack Engineer,5,105000,FALSE
39,Female,Master's Degree,Senior Software Engineer,11,160000,FALSE
32,Male,Bachelor's Degree,Front end Developer,6,110000,FALSE
50,Male,PhD,Software Engineer Manager,17,195000,FALSE
27,Male,Bachelor's Degree,Back end Developer,3,85000,FALSE
46,Male,PhD,Senior Project Engineer,14,180000,FALSE
25,Female,Bachelor's Degree,Front end Developer,1,55000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
35,Male,Bachelor's Degree,Back end Developer,8,140000,FALSE
29,Female,Master's Degree,Back end Developer,3,90000,FALSE
40,Female,PhD,Senior Software Engineer,12,160000,FALSE
35,Male,Bachelor's Degree,Full Stack Engineer,8,145000,FALSE
41,Male,PhD,Senior Project Engineer,13,185000,FALSE
30,Male,Master's Degree,Full Stack Engineer,5,105000,FALSE
33,Male,Bachelor's Degree,Front end Developer,6,110000,FALSE
55,Male,PhD,Software Engineer Manager,18,210000,FALSE
26,Female,Master's Degree,Front end Developer,1,55000,FALSE
47,Male,PhD,Senior Project Engineer,16,190000,FALSE
44,Female,PhD,Software Engineer Manager,11,165000,FALSE
30,Male,Master's Degree,Full Stack Engineer,5,105000,FALSE
39,Female,Master's Degree,Senior Software Engineer,11,160000,FALSE
32,Male,Bachelor's Degree,Front end Developer,6,110000,FALSE
50,Male,PhD,Software Engineer Manager,17,195000,FALSE
27,Male,Bachelor's Degree,Back end Developer,3,85000,FALSE
46,Male,PhD,Senior Project Engineer,14,180000,FALSE
25,Female,Bachelor's Degree,Front end Developer,1,55000,FALSE
43,Male,PhD,Senior Project Engineer,13,185000,FALSE
35,Male,Bachelor's Degree,Back end Developer,8,140000,FALSE
29,Female,Master's Degree,Back end Developer,3,90000,FALSE
40,Female,PhD,Senior Software Engineer,12,160000,FALSE
35,Male,Bachelor's Degree,Full Stack Engineer,8,145000,FALSE
41,Male,PhD,Senior Project Engineer,13,185000,FALSE
30,Male,Master's Degree,Full Stack Engineer,5,105000,FALSE
33,Male,Bachelor's Degree,Front end Developer,6,110000,FALSE
55,Male,PhD,Software Engineer Manager,18,210000,FALSE
26,Female,Master's Degree,Front end Developer,1,55000,FALSE
47,Male,PhD,Senior Project Engineer,16,190000,FALSE
44,Female,PhD,Software Engineer Manager,11,165000,FALSE
30,Male,Master's Degree,Full Stack Engineer,5,105000,FALSE
39,Female,Master's Degree,Senior Software Engineer,11,160000,FALSE
32,Male,Bachelor's Degree,Front end Developer,6,110000,FALSE
50,Male,PhD,Software Engineer Manager,17,195000,FALSE
27,Male,Bachelor's Degree,Back end Developer,3,85000,FALSE
46,Male,PhD,Senior Project Engineer,14,180000,FALSE
25,Female,Bachelor's Degree,Front end Developer,1,55000,FALSE
